Id,Label,viewer_mean
271,labibliotecadidaphne,224
272,sparapaw,224
273,AndyyTK,223
274,HDblog,222
275,Kodomo,222
276,Emanuelsonn,220
277,IzunaTOP,220
278,tonnofn_,216
279,StrushTV,215
280,ei_Franz,215
281,Eurogamer_Italia,215
282,ilMasella,213
283,kekkobomba,213
284,Gioee,213
285,MetsASMR,212
286,Dagnolf96,211
287,shmeky,209
288,Gravier,209
289,AurelianoOfficial,208
290,MilanNewsit,207
291,CRAZYFATGAMER,205
292,Krisfits,204
293,RiberaRibell,204
294,iLFantasmaDelleNevi,204
295,malatodelnapoli_,202
296,VKingPlays,201
297,gm_moro,200
298,Allerendys,200
299,JustRyuk,199
300,DarioMartiz,198
301,Erkole,197
302,liccardorosario_real,197
303,alcircomassimo,196
304,CKibe,196
305,TURI,195
306,GameStopIT,194
307,Kroatomist,194
308,lapamy_,194
309,PianetaLecce,192
310,v1ci0us,191
311,paolom346_,190
312,kingmave9111,190
313,MatteoAgostiniVGC,189
314,Marcy7,189
315,MikeLeeRose,189
316,Tizio20,188
317,NinhoTv_,187
318,FondatoriFUT,187
319,MarcoKitano,187
320,ZaneSG__,187
321,therealzamp,187
322,luke4316live,186
323,Ydanttv,186
324,BelusiFN,185
325,douglas_tv,185
326,MrINS,184
327,Xiaox,184
328,Leta,183
329,yowatchmewin,183
330,DamianoAlberti,183
331,Cousik,183
332,Mox600,181
333,MarcusKron,180
334,ileniazodiaco,179
335,KeNoiaaa,178
336,Lubanski,178
337,nunzia_rinaldi_,178
338,imrayleen_,178
339,ILFUBBE,177
340,LucasHR,177
341,toselluc,176
342,BadTasteItalia,176
343,Parrins,175
344,Lilyane,174
345,JumboDrillo,174
346,RiseUpAcademyUfficiale,174
347,KenRhen,173
348,cristinascabbia,173
349,LiveBianconera,172
350,kajbomb,171
351,nicohmygod,170
352,UnaCamPerDue,170
353,azeryux_tv,170
354,spaccio_calcio_tv,169
355,RDSnext,169
356,Cava111,168
357,aliushow,167
358,kekkoim,167
359,exeed_official,167
360,GOALItalia,166
361,SniperPigna,166
362,darkchri999,165
363,YTGiul,163
364,laconteagentile,162
365,lorenzo_faion,162
366,KasumiSen,161
367,DROODTHUND3R,160
368,Kaaat_exe,160
369,sivedechetiannoi,160
370,MrChuck12,159
371,psPlayerD,159
372,ViviGiapponeTwitch,159
373,TeleRadioStereo,158
374,chesscomIT,158
375,Himorta,158
376,vez_goldlord,157
377,Canelupo1996,157
378,Storm_Danno,157
379,area_52_,157
380,IlPippegaTV,156
381,UMBOTTI,156
382,PIERINOtv,155
383,ilDelmo,154
384,AboutSePPi,154
385,PAPONEtv,154
386,christianliguorii,154
387,Kijaass,153
388,JeckVII,153
389,VAXPOWER,152
390,andreaerati,151
391,diegubtv,150
392,zerefttv,149
393,Muusoo,146
394,EnricoSilvestrin,146
395,AnimeNightLive,146
396,Mastro_Z,146
397,SpazioGames,145
398,Kafkanya,144
399,KingMarech_,144
400,alexcod556,144
401,blackiraqfps,144
402,Giorrgiaa_,143
403,tiamat_official,142
404,Max_Proietti,142
405,Dile_asmr,141
406,SteLIVE,140
407,Eufory_,139
408,seriea,139
409,just_Baffo,138
410,frenk95ita,138
411,EGA_TVs,137
412,kenobisboch,137
413,rospooo,137
414,juvandmeofficial,136
415,NotOblio,135
416,Monaschon,134
417,YleniaFrezza,133
