ID_streamer,ID_game,minutes
80,351,165
335,351,45
421,351,120
471,351,480
517,351,30
524,351,60
741,351,120
1020,351,60
1083,351,30
1264,351,120
1387,351,180
1388,351,45
1413,351,180
1423,351,75
1469,351,255
1471,351,120
1473,351,90
1620,351,240
1886,351,30
2043,351,105
2454,351,60
2589,351,30
2643,351,90
2743,351,75
2926,351,90
2959,351,120
0,1004,45
1,1004,90
4,1004,645
5,1004,840
7,1004,810
9,1004,6075
15,1004,45
16,1004,1305
18,1004,8640
25,1004,1605
40,1004,3510
44,1004,30
60,1004,480
80,1004,390
92,1004,90
94,1004,465
103,1004,135
105,1004,5820
107,1004,1965
108,1004,435
110,1004,1440
115,1004,3825
120,1004,120
125,1004,225
128,1004,675
130,1004,150
135,1004,2490
145,1004,75
151,1004,960
155,1004,120
160,1004,195
167,1004,2340
176,1004,30
188,1004,300
199,1004,330
201,1004,105
209,1004,1635
212,1004,45
243,1004,4320
247,1004,135
255,1004,165
267,1004,45
270,1004,165
272,1004,315
273,1004,3375
275,1004,60
278,1004,975
281,1004,135
283,1004,495
287,1004,255
289,1004,75
305,1004,180
307,1004,2955
314,1004,90
316,1004,2130
320,1004,630
324,1004,735
343,1004,45
388,1004,735
398,1004,105
400,1004,1050
404,1004,135
420,1004,45
425,1004,375
430,1004,135
436,1004,375
445,1004,2850
450,1004,510
452,1004,90
456,1004,780
462,1004,120
463,1004,60
465,1004,495
469,1004,795
471,1004,2400
478,1004,3060
495,1004,420
496,1004,930
499,1004,540
506,1004,615
513,1004,600
517,1004,345
531,1004,1170
533,1004,120
539,1004,150
543,1004,60
558,1004,150
564,1004,180
574,1004,1215
581,1004,270
592,1004,2280
593,1004,450
595,1004,1110
598,1004,30
600,1004,1530
602,1004,1335
631,1004,1275
652,1004,90
653,1004,975
658,1004,345
672,1004,4380
673,1004,3630
675,1004,540
683,1004,75
691,1004,1440
706,1004,135
734,1004,975
735,1004,165
755,1004,735
756,1004,1215
762,1004,225
768,1004,1845
776,1004,360
785,1004,45
797,1004,2025
812,1004,60
817,1004,105
827,1004,285
833,1004,60
836,1004,105
862,1004,240
864,1004,45
876,1004,210
877,1004,75
878,1004,960
883,1004,480
885,1004,2685
886,1004,30
889,1004,120
892,1004,1935
906,1004,90
909,1004,2265
911,1004,495
919,1004,1725
921,1004,3825
937,1004,255
941,1004,675
958,1004,135
962,1004,2430
968,1004,30
984,1004,330
986,1004,1680
989,1004,180
991,1004,1365
1001,1004,2160
1008,1004,30
1013,1004,90
1024,1004,45
1034,1004,150
1065,1004,4440
1083,1004,60
1103,1004,885
1111,1004,120
1119,1004,615
1125,1004,1440
1136,1004,540
1143,1004,1575
1145,1004,255
1154,1004,45
1172,1004,720
1208,1004,1410
1209,1004,300
1218,1004,1140
1224,1004,3360
1235,1004,300
1248,1004,30
1262,1004,345
1264,1004,3855
1273,1004,120
1277,1004,60
1283,1004,105
1287,1004,4560
1298,1004,285
1307,1004,1050
1308,1004,720
1313,1004,270
1317,1004,915
1319,1004,4995
1325,1004,945
1329,1004,30
1333,1004,555
1339,1004,1620
1351,1004,180
1371,1004,60
1373,1004,2250
1385,1004,165
1387,1004,615
1391,1004,915
1399,1004,780
1415,1004,1815
1426,1004,120
1436,1004,75
1451,1004,1470
1455,1004,45
1459,1004,30
1460,1004,1650
1463,1004,180
1468,1004,810
1469,1004,4470
1472,1004,1170
1484,1004,105
1492,1004,90
1501,1004,375
1516,1004,165
1517,1004,540
1521,1004,150
1523,1004,60
1525,1004,1185
1527,1004,300
1528,1004,60
1536,1004,120
1553,1004,7470
1554,1004,1950
1587,1004,3915
1590,1004,2040
1595,1004,90
1598,1004,75
1601,1004,675
1604,1004,720
1613,1004,2205
1616,1004,2295
1619,1004,1845
1620,1004,165
1623,1004,3090
1624,1004,75
1626,1004,3255
1633,1004,3810
1637,1004,255
1651,1004,270
1678,1004,4410
1686,1004,1125
1696,1004,795
1705,1004,195
1725,1004,150
1736,1004,465
1769,1004,195
1777,1004,1695
1779,1004,150
1782,1004,285
1784,1004,180
1788,1004,375
1794,1004,720
1801,1004,90
1813,1004,90
1820,1004,120
1824,1004,75
1829,1004,180
1840,1004,1500
1844,1004,450
1846,1004,60
1848,1004,1080
1853,1004,45
1866,1004,105
1880,1004,120
1887,1004,1335
1895,1004,945
1896,1004,210
1903,1004,405
1906,1004,495
1907,1004,1155
1913,1004,135
1915,1004,300
1925,1004,135
1941,1004,1155
1951,1004,1065
1952,1004,1035
1955,1004,705
1959,1004,825
1966,1004,2970
1983,1004,2670
1985,1004,135
1992,1004,45
1993,1004,405
1999,1004,195
2000,1004,120
2005,1004,1860
2022,1004,390
2027,1004,60
2028,1004,210
2029,1004,825
2035,1004,1965
2050,1004,1215
2056,1004,1785
2059,1004,525
2062,1004,135
2063,1004,4395
2067,1004,750
2080,1004,2340
2085,1004,1455
2086,1004,915
2097,1004,60
2116,1004,180
2137,1004,135
2140,1004,60
2144,1004,180
2154,1004,255
2160,1004,285
2172,1004,60
2173,1004,75
2181,1004,1335
2190,1004,1170
2200,1004,585
2221,1004,2310
2241,1004,1770
2247,1004,285
2269,1004,60
2270,1004,690
2274,1004,135
2284,1004,525
2292,1004,5580
2298,1004,1155
2302,1004,105
2307,1004,270
2309,1004,300
2315,1004,75
2318,1004,405
2329,1004,135
2330,1004,225
2334,1004,1200
2335,1004,45
2337,1004,90
2338,1004,150
2343,1004,1170
2344,1004,2295
2366,1004,120
2367,1004,600
2369,1004,75
2373,1004,375
2374,1004,825
2376,1004,375
2378,1004,45
2390,1004,3120
2400,1004,120
2407,1004,285
2414,1004,195
2415,1004,75
2419,1004,1500
2430,1004,225
2431,1004,120
2433,1004,345
2459,1004,195
2462,1004,750
2474,1004,510
2491,1004,1410
