,twitch_name,steam_name,match_score,twitch_clean,steam_clean
258,Final Fantasy XIII-2,FINAL FANTASY® XIII-2,100,final fantasy xiii2,final fantasy xiii2
260,Gladiator Guild Manager,Gladiator Guild Manager,100,gladiator guild manager,
263,Mortal Kombat X,Mortal Kombat X,100,mortal kombat x,
264,Outland,Outland,100,outland,
267,ObsCure,Obscure,100,obscure,obscure
270,Tormented Souls,Tormented Souls,100,tormented souls,
272,Viewergames Arcade,Viewergames Arcade,100,viewergames arcade,
273,My Time at Portia,My Time At Portia,100,my time at portia,my time at portia
274,Ori and the Will of the Wisps,Ori and the Will of the Wisps,100,ori and the will of the wisps,
276,I am Bread,I Am Bread,100,i am bread,i am bread
278,Layers of Fear,Layers of Fear,100,layers of fear,
281,Maid of Sker,Maid of Sker,100,maid of sker,
282,Vampyr,Vampyr,100,vampyr,
284,Party Hard 2,Party Hard 2,100,party hard 2,
289,Kerbal Space Program,Kerbal Space Program,100,kerbal space program,
291,Hyper Light Drifter,Hyper Light Drifter,100,hyper light drifter,
293,Just Chatting,Just Chatting,100,just chatting,
294,Cyberpunk 2077,Cyberpunk 2077,100,cyberpunk 2077,
296,Final Fantasy XIV Online,FINAL FANTASY XIV Online,100,final fantasy xiv online,final fantasy xiv online
305,Jump King,Jump King,100,jump king,
307,Golf Club: Wasteland,Golf Club Wasteland,100,golf club wasteland,golf club wasteland
314,Role Player: Full Immersion,Role Player: Full Immersion,100,role player full immersion,
321,Ikai,Ikai,100,ikai,
322,White Night,White Night,100,white night,
323,Outward,Outward,100,outward,
327,Dead Space 2,Dead Space™ 2,100,dead space 2,dead space 2
335,Blair Witch,Blair Witch,100,blair witch,
336,Thief,Thief,100,thief,
337,Call of Duty,Call of Duty®,100,call of duty,call of duty
341,A Girls Fabric Face,A Girls Fabric Face,100,a girls fabric face,
343,Forewarned,FOREWARNED,100,forewarned,forewarned
344,The Hex,The Hex,100,the hex,
346,Hanako | 花子さん,Hanako | 花子さん,100,hanako,
348,Operation: Tango,Operation: Tango,100,operation tango,
349,Hitchhiker,Hitchhiker,100,hitchhiker,
350,Project Zomboid,Project Zomboid,100,project zomboid,
352,Darkwood,Darkwood,100,darkwood,
353,Five Nights at Freddy's 4,Five Nights at Freddy's 4,100,five nights at freddy's 4,
355,Half-Life,Half-Life,100,halflife,
357,Chess,Chess,100,chess,
360,WWE 2K20,WWE 2K20,100,wwe 2k20,
363,2Dark,2Dark,100,2dark,
366,SpeedRunners,SpeedRunners,100,speedrunners,
367,Fishing Sim World: Bass Pro Shops Edition,Fishing Sim World: Bass Pro Shops Edition,100,fishing sim world bass pro shops edition,
371,Resident Evil 5,Resident Evil 5,100,resident evil 5,
