,twitch_name,steam_name,match_score,twitch_clean,steam_clean
898,Gang Beasts,,,gang beasts,
899,Monster Hunter Rise,,,monster hunter rise,
900,Tender,,,tender,
902,Wildcat Gun Machine,,,wildcat gun machine,
903,Borderlands 2,,,borderlands 2,
904,Grand Theft Auto III,,,grand theft auto iii,
906,Pokémon XD: Gale of Darkness,,,pokmon xd gale of darkness,
908,Slashers,,,slashers,
909,Trackmania,,,trackmania,
910,Animal Crossing: New Horizons,,,animal crossing new horizons,
912,Metroid: Other M,,,metroid other m,
916,Resident Evil 7 biohazard,,,resident evil 7 biohazard,
917,The Last of Us Remastered,,,the last of us remastered,
920,Pull Stay,,,pull stay,
922,Super Mario RPG: Legend of the Seven Stars,,,super mario rpg legend of the seven stars,
925,Ratchet & Clank,,,ratchet  clank,
928,Xenoblade Chronicles 2,,,xenoblade chronicles 2,
929,Science & Technology,,,science  technology,
931,Jackbox Party Packs,,,jackbox party packs,
932,Slime: Isekai Memories,,,slime isekai memories,
933,In Sound Mind,,,in sound mind,
935,Silent Hill,,,silent hill,
937,Guilty Gear: Strive,,,guilty gear strive,
938,Garena Free Fire,,,garena free fire,
940,Rocket League,,,rocket league,
944,Darts,,,darts,
945,Judgment,,,judgment,
946,Splatoon,,,splatoon,
948,Harry Potter and the Half-Blood Prince,,,harry potter and the halfblood prince,
949,Need for Speed: Underground 2,,,need for speed underground 2,
950,The Legend of Zelda: Link's Awakening,,,the legend of zelda link's awakening,
952,Mario Party Superstars,,,mario party superstars,
953,The Lord of the Rings: The Battle for Middle-earth II,,,the lord of the rings the battle for middleearth ii,
954,Martha Is Dead,,,martha is dead,
956,Stronghold Crusader II,,,stronghold crusader ii,
959,The Dark Pictures Anthology: Man of Medan,,,the dark pictures anthology man of medan,
960,BATTLESHIP,,,battleship,
961,theHunter: Call of the Wild,,,thehunter call of the wild,
963,Clubhouse Games: 51 Worldwide Classics,,,clubhouse games 51 worldwide classics,
965,Bully,,,bully,
966,Subnautica,,,subnautica,
969,osu!,,,osu,
970,Pokémon Ultra Sun,,,pokmon ultra sun,
971,Fall Guys: Ultimate Knockout,,,fall guys ultimate knockout,
975,Roblox,,,roblox,
976,Rocket League Sideswipe,,,rocket league sideswipe,
978,Phasmophobia,,,phasmophobia,
979,Tomb Raider Level Editor,,,tomb raider level editor,
982,Dying Light 2: Stay Human,,,dying light 2 stay human,
983,Big Brain Academy: Brain vs. Brain,,,big brain academy brain vs brain,
984,FRIDAY NIGHT FUNKIN',,,friday night funkin',
985,Guns Up! Mobile,,,guns up mobile,
986,Alone in the Dark 3,,,alone in the dark 3,
987,Control,,,control,
988,Stranger of Paradise: Final Fantasy Origin,,,stranger of paradise final fantasy origin,
989,"Pokémon: Let's Go, Pikachu!",,,pokmon let's go pikachu,
990,Riverbond,,,riverbond,
991,Tales of Arise,,,tales of arise,
992,Super Pang,,,super pang,
998,BombParty,,,bombparty,
1000,PUBG Mobile,,,pubg mobile,
1002,Spongebob Squarepants: Battle For Bikini Bottom,,,spongebob squarepants battle for bikini bottom,
1003,Final Fantasy: Crystal Chronicles,,,final fantasy crystal chronicles,
1004,Fortnite,,,fortnite,
1006,Winkeltje: The Little Shop,,,winkeltje the little shop,
1007,Little Witch in the Woods,,,little witch in the woods,
1010,Never Alone,,,never alone,
1012,ANNO: Mutationem,,,anno mutationem,
1013,Life is Strange,,,life is strange,
1017,Resident Evil Outbreak,,,resident evil outbreak,
1018,Lost Alone EP.1: Little Sister,,,lost alone ep1 little sister,
1019,GameRoom,,,gameroom,
1021,PowerWash Simulator,,,powerwash simulator,
1022,Mario Tennis Aces,,,mario tennis aces,
1023,Prominence Poker,,,prominence poker,
1024,Wii Fit U,,,wii fit u,
1025,Diablo III,,,diablo iii,
1026,Alien vs Predator,,,alien vs predator,
1027,Higurashi: When They Cry,,,higurashi when they cry,
1029,Horizon Forbidden West,,,horizon forbidden west,
1030,Red Dead Redemption,,,red dead redemption,
1031,Legends of Runeterra,,,legends of runeterra,
1032,Splitgate,,,splitgate,
1034,Teardown,,,teardown,
1035,Overlord: Escape from Nazarick,,,overlord escape from nazarick,
1037,Talk To Me,,,talk to me,
1038,Octopath Traveler,,,octopath traveler,
1039,Songs of Conquest,,,songs of conquest,
1040,Black Desert,,,black desert,
1045,Century: Age of Ashes,,,century age of ashes,
1047,Pokémon Crystal,,,pokmon crystal,
1048,Hell Let Loose,,,hell let loose,
1049,Lost Odyssey,,,lost odyssey,
1050,Apex Legends,,,apex legends,
1051,Triangle Strategy,,,triangle strategy,
1052,Pokémon GO,,,pokmon go,
1054,Pokémon Mystery Dungeon: Rescue Team DX,,,pokmon mystery dungeon rescue team dx,
1056,WWE SmackDown vs. Raw 2007,,,wwe smackdown vs raw 2007,
1063,Hunt: Showdown,,,hunt showdown,
1064,Mario Kart 64,,,mario kart 64,
1067,The Binding of Isaac: Repentance,,,the binding of isaac repentance,
1068,Yu-Gi-Oh! Duel Links,,,yugioh duel links,
1069,Pokémon Black/White,,,pokmon blackwhite,
1070,The Pigeon P,,,the pigeon p,
1071,Kingdom Hearts III,,,kingdom hearts iii,
1073,Harry Potter and the Order of the Phoenix,,,harry potter and the order of the phoenix,
1075,Nightmare of Decay,,,nightmare of decay,
1076,Deceit,,,deceit,
1077,Unpacking,,,unpacking,
1078,Genshin Impact,,,genshin impact,
1079,Friday the 13th: The Computer Game,,,friday the 13th the computer game,
1080,Path of Exile,,,path of exile,
1081,Pokémon Platinum,,,pokmon platinum,
1083,Art,,,art,
1084,Castlevania: Rondo of Blood,,,castlevania rondo of blood,
1085,Grand Theft Auto IV,,,grand theft auto iv,
1086,Tekken 2,,,tekken 2,
1087,Persona 5,,,persona 5,
1091,Reaction,,,reaction,
1093,The Seven Deadly Sins: Grand Cross,,,the seven deadly sins grand cross,
1094,NieR: Automata,,,nier automata,
1097,House Flipper,,,house flipper,
1099,F1 Manager 2022,,,f1 manager 2022,
1100,The World's Hardest Game,,,the world's hardest game,
1101,Make It Meme,,,make it meme,
1104,Live for Speed,,,live for speed,
1105,Conan Exiles,,,conan exiles,
1107,Warhammer,,,warhammer,
1109,VALORANT,,,valorant,
1111,Among the Sleep,,,among the sleep,
1112,Super Mario Bros.,,,super mario bros,
1114,Prezzemolo in una Giornata da Incubo,,,prezzemolo in una giornata da incubo,
1115,ev.io,,,evio,
1116,Super Mario Maker 2,,,super mario maker 2,
1117,TETR.IO,,,tetrio,
1121,Assassin's Creed II,,,assassin's creed ii,
1122,Game Dev Story,,,game dev story,
1123,Super Mecha Champions,,,super mecha champions,
1124,The Cleaner,,,the cleaner,
1129,The King of Fighters XV,,,the king of fighters xv,
1130,ObsCure II,,,obscure ii,
1131,Magic: The Gathering,,,magic the gathering,
1132,Pokémon Trading Card Game,,,pokmon trading card game,
1133,Mighty Goose,,,mighty goose,
1134,Farming Simulator 22,,,farming simulator 22,
1140,Paper Mario: The Origami King,,,paper mario the origami king,
1141,The Inheritance of Crimson Manor,,,the inheritance of crimson manor,
1142,Occult,,,occult,
